"cuestionario_hogar_id","HV201","indice_riqueza"
"5706701",11,"1.muy_pobre"
"5707001",11,"1.muy_pobre"
"5707101",41,"1.muy_pobre"
"5707201",96,"1.muy_pobre"
"5711101",11,"1.muy_pobre"
"5711601",11,"1.muy_pobre"
"5711801",11,"1.muy_pobre"
"5711901",41,"1.muy_pobre"
"5712001",11,"1.muy_pobre"
"5802601",11,"3.medio"
"5803701",71,"5.muy_rico"
"5804101",11,"2.pobre"
"5804901",71,"5.muy_rico"
"5805201",11,"3.medio"
"5805401",71,"3.medio"
"5806401",11,"2.pobre"
"5806501",11,"4.rico"
"5809501",11,"2.pobre"
"5810001",11,"3.medio"
"5810501",11,"2.pobre"
"5812401",11,"2.pobre"
"5812701",71,"3.medio"
"6102501",11,"3.medio"
"6105001",96,"3.medio"
"6105401",11,"3.medio"
"6106201",11,"3.medio"
"6106701",11,"4.rico"
"6109401",11,"2.pobre"
"6110101",11,"3.medio"
"6111801",11,"3.medio"
"6112301",11,"4.rico"
"6305901",71,"3.medio"
"6305902",11,"2.pobre"
"6306901",11,"3.medio"
"6310101",11,"2.pobre"
"6311401",71,"4.rico"
"6311801",11,"3.medio"
"6312401",11,"4.rico"
"6313701",11,"5.muy_rico"
"6314801",11,"3.medio"
"6315601",71,"4.rico"
"6315901",11,"5.muy_rico"
"6500101",11,"4.rico"
"6500102",11,"3.medio"
"6502301",11,"4.rico"
"6502302",11,"3.medio"
"6502303",11,"3.medio"
"6504701",11,"5.muy_rico"
"6506101",11,"2.pobre"
"6507301",11,"4.rico"
"6507401",11,"5.muy_rico"
"6507801",11,"5.muy_rico"
"6508301",71,"5.muy_rico"
"6508501",11,"4.rico"
"6509201",71,"2.pobre"
"6600701",11,"3.medio"
"6602401",71,"5.muy_rico"
"6604001",11,"3.medio"
"6604501",11,"4.rico"
"6606301",11,"5.muy_rico"
"6606801",71,"5.muy_rico"
"6607401",11,"5.muy_rico"
"6607801",11,"4.rico"
"6610001",11,"4.rico"
"6700301",11,"3.medio"
"6703901",71,"3.medio"
"6704101",71,"3.medio"
"6704301",11,"4.rico"
"6704601",11,"4.rico"
"6705901",71,"5.muy_rico"
"6709001",11,"5.muy_rico"
"6709201",11,"3.medio"
"6711201",11,"4.rico"
"6712601",71,"4.rico"
"6800101",11,"4.rico"
"6802901",11,"4.rico"
"6804101",71,"4.rico"
"6804801",11,"3.medio"
"6807101",11,"3.medio"
"6808401",11,"3.medio"
"6809901",71,"2.pobre"
"6810501",71,"4.rico"
"6812901",11,"3.medio"
"6901001",71,"3.medio"
"6903601",11,"3.medio"
"6903602",11,"3.medio"
"6905101",11,"5.muy_rico"
"6906101",71,"3.medio"
"6908601",71,"5.muy_rico"
"6909501",11,"4.rico"
"6910301",11,"4.rico"
"6912301",11,"4.rico"
"6912501",11,"4.rico"
"6914101",11,"4.rico"
"7000701",11,"2.pobre"
"7002801",11,"4.rico"
"7002802",11,"3.medio"
"7003301",11,"4.rico"
"7003401",71,"4.rico"
"7003901",11,"5.muy_rico"
"7005201",71,"4.rico"
"7006001",71,"4.rico"
"7006401",71,"5.muy_rico"
"7009201",71,"4.rico"
"7010801",71,"5.muy_rico"
"7201201",11,"5.muy_rico"
"7202001",12,"1.muy_pobre"
"7204001",11,"4.rico"
"7205101",11,"4.rico"
"7205901",11,"4.rico"
"7208701",11,"3.medio"
"7210101",71,"5.muy_rico"
"7211301",71,"2.pobre"
"7212001",11,"3.medio"
"7303601",11,"5.muy_rico"
"7305601",11,"4.rico"
"7307101",11,"3.medio"
"7307501",11,"5.muy_rico"
"7308401",71,"3.medio"
"7311801",11,"4.rico"
"7313301",11,"3.medio"
"7313901",11,"5.muy_rico"
"7314501",11,"2.pobre"
"7314601",11,"5.muy_rico"
"7403701",11,"5.muy_rico"
"7405601",71,"5.muy_rico"
"7406501",71,"5.muy_rico"
"7408201",71,"4.rico"
"7408301",11,"5.muy_rico"
"7416401",71,"4.rico"
"7504801",11,"5.muy_rico"
"7505401",11,"5.muy_rico"
"7506001",71,"5.muy_rico"
"7506701",11,"5.muy_rico"
"7511101",11,"5.muy_rico"
"7512801",71,"5.muy_rico"
"7514001",71,"5.muy_rico"
"7600501",11,"4.rico"
"7600701",11,"3.medio"
"7601601",71,"5.muy_rico"
"7602601",71,"3.medio"
"7604901",11,"5.muy_rico"
"7606201",71,"5.muy_rico"
"7609201",11,"4.rico"
"7610401",11,"4.rico"
"7610601",11,"3.medio"
"7701901",11,"3.medio"
"7703001",11,"3.medio"
"7704501",11,"3.medio"
"7707501",11,"5.muy_rico"
"7707701",11,"2.pobre"
"7708001",71,"4.rico"
"7708601",11,"4.rico"
"7709801",11,"3.medio"
"7711101",11,"4.rico"
"7711501",11,"4.rico"
"7802301",11,"2.pobre"
"7803401",11,"2.pobre"
"7804601",11,"3.medio"
"7810601",71,"3.medio"
"7812701",11,"3.medio"
"7813201",11,"3.medio"
"7813501",11,"5.muy_rico"
"7813601",11,"4.rico"
"7816901",11,"4.rico"
"8002301",11,"3.medio"
"8004101",11,"2.pobre"
"8004601",11,"5.muy_rico"
"8006401",11,"1.muy_pobre"
"8007601",11,"1.muy_pobre"
"8011801",11,"1.muy_pobre"
"8012401",11,"2.pobre"
"8013201",11,"1.muy_pobre"
"8500701",61,"2.pobre"
"8502401",71,"2.pobre"
"8505301",71,"2.pobre"
"8506301",71,"1.muy_pobre"
"8507301",61,"2.pobre"
"8507501",61,"3.medio"
"8508401",71,"1.muy_pobre"
"8510101",61,"1.muy_pobre"
"8510201",71,"2.pobre"
"8512001",61,"1.muy_pobre"
"8700601",11,"2.pobre"
"8700602",11,"3.medio"
"8700603",11,"3.medio"
"8700604",11,"3.medio"
"8702601",11,"4.rico"
"8705801",11,"4.rico"
"8707401",71,"4.rico"
"8710201",11,"1.muy_pobre"
"8710801",11,"3.medio"
"8711101",71,"4.rico"
"8715001",11,"3.medio"
"8716201",11,"3.medio"
"8801001",11,"3.medio"
"8801701",11,"3.medio"
"8803101",11,"5.muy_rico"
"8803601",11,"4.rico"
"8805301",11,"2.pobre"
"8805601",11,"4.rico"
"8806001",11,"3.medio"
"8806501",11,"4.rico"
"8809601",11,"3.medio"
"8809801",71,"2.pobre"
"9102201",11,"3.medio"
"9103601",11,"2.pobre"
"9105001",11,"2.pobre"
"9105701",11,"3.medio"
"9107601",11,"5.muy_rico"
"9108201",11,"3.medio"
"9108501",11,"5.muy_rico"
"9110401",11,"5.muy_rico"
"9110701",11,"3.medio"
"9112301",71,"5.muy_rico"
"9200401",11,"3.medio"
"9200601",11,"1.muy_pobre"
"9203101",11,"2.pobre"
"9204901",11,"1.muy_pobre"
"9205501",11,"3.medio"
"9207301",11,"2.pobre"
"9207801",11,"4.rico"
"9208101",11,"3.medio"
"9301601",11,"3.medio"
"9301901",71,"4.rico"
"9302201",11,"5.muy_rico"
"9302301",11,"3.medio"
"9304401",11,"4.rico"
"9305901",11,"4.rico"
"9308801",11,"4.rico"
"9310401",71,"5.muy_rico"
"9310701",71,"5.muy_rico"
"9311601",71,"3.medio"
"9400701",11,"4.rico"
"9400801",11,"4.rico"
"9400901",11,"3.medio"
"9402301",71,"2.pobre"
"9403201",11,"4.rico"
"9404901",11,"3.medio"
"9405101",11,"3.medio"
"9406301",11,"5.muy_rico"
"9407101",11,"3.medio"
"9602801",11,"1.muy_pobre"
"9602901",11,"2.pobre"
"9603001",11,"2.pobre"
"9603101",11,"1.muy_pobre"
"9603201",11,"2.pobre"
"9608001",11,"2.pobre"
"9608101",96,"1.muy_pobre"
"9608201",11,"2.pobre"
"9608301",11,"1.muy_pobre"
"9608401",11,"1.muy_pobre"
"9614401",11,"1.muy_pobre"
"9614501",11,"2.pobre"
"9614601",11,"2.pobre"
"9614701",11,"3.medio"
"9614801",11,"1.muy_pobre"
"9802001",11,"1.muy_pobre"
"9802101",11,"1.muy_pobre"
"9802201",11,"1.muy_pobre"
"9802401",11,"1.muy_pobre"
"9802501",11,"1.muy_pobre"
"9805101",11,"1.muy_pobre"
"9805201",11,"1.muy_pobre"
"9805301",11,"1.muy_pobre"
"9805701",11,"1.muy_pobre"
"9805801",11,"1.muy_pobre"
"9810001",11,"2.pobre"
"9810101",11,"1.muy_pobre"
"9810201",11,"1.muy_pobre"
"9810301",11,"1.muy_pobre"
"9810401",11,"1.muy_pobre"
"9901801",11,"2.pobre"
"9902701",11,"5.muy_rico"
"9903101",11,"1.muy_pobre"
"9903601",11,"1.muy_pobre"
"9904301",11,"2.pobre"
"9905401",11,"4.rico"
"9906201",11,"3.medio"
"9906401",11,"1.muy_pobre"
"9906801",11,"1.muy_pobre"
"9907801",11,"1.muy_pobre"
"9908701",96,"1.muy_pobre"
"9908801",11,"1.muy_pobre"
"9909401",11,"2.pobre"
"9909801",11,"2.pobre"
"9910501",11,"1.muy_pobre"
"10000601",11,"1.muy_pobre"
"10000701",11,"1.muy_pobre"
"10000801",11,"1.muy_pobre"
"10000901",11,"1.muy_pobre"
"10001001",11,"1.muy_pobre"
"10002101",11,"1.muy_pobre"
"10002201",11,"1.muy_pobre"
"10002301",11,"1.muy_pobre"
"10002701",11,"1.muy_pobre"
"10002901",11,"1.muy_pobre"
"10004701",11,"1.muy_pobre"
"10004801",11,"1.muy_pobre"
"10005701",11,"1.muy_pobre"
"10005801",11,"1.muy_pobre"
"10005901",41,"1.muy_pobre"
"10101601",11,"1.muy_pobre"
"10101701",11,"1.muy_pobre"
"10101801",11,"1.muy_pobre"
"10101901",11,"1.muy_pobre"
"10102001",11,"1.muy_pobre"
"10103401",11,"1.muy_pobre"
"10103501",96,"1.muy_pobre"
"10103601",11,"1.muy_pobre"
"10104901",11,"1.muy_pobre"
"10105301",11,"1.muy_pobre"
"10105501",11,"1.muy_pobre"
"10105601",11,"1.muy_pobre"
"10105801",11,"1.muy_pobre"
"10108501",11,"1.muy_pobre"
"10108601",11,"1.muy_pobre"
"10303601",11,"1.muy_pobre"
"10303801",11,"1.muy_pobre"
"10303901",11,"1.muy_pobre"
"10304201",11,"1.muy_pobre"
"10304901",11,"1.muy_pobre"
"10306401",11,"1.muy_pobre"
"10306501",11,"1.muy_pobre"
"10306601",11,"1.muy_pobre"
"10306701",11,"1.muy_pobre"
"10306801",11,"1.muy_pobre"
"10306901",11,"1.muy_pobre"
"10307001",11,"1.muy_pobre"
"10307101",11,"1.muy_pobre"
"10307201",11,"1.muy_pobre"
"10403901",11,"1.muy_pobre"
"10404001",11,"1.muy_pobre"
"10404101",11,"1.muy_pobre"
"10404201",11,"1.muy_pobre"
"10404301",11,"2.pobre"
"10404901",11,"1.muy_pobre"
"10405001",11,"1.muy_pobre"
"10405101",11,"1.muy_pobre"
"10405301",11,"1.muy_pobre"
"10405401",11,"1.muy_pobre"
"10408301",11,"2.pobre"
